sharp objects			1.238750596	3.0451356769999998	3.0742344530000003	2.646366474	4.2928434719999995	2.8594661344000003
scratching				1.3533936340000001	1.9387064109999999	1.3872082319999999	2.504158692	1.7958667422499999
body mods				1.240610831	1.3570944880000002	1.216474911	1.0732108679999999	1.2218477745
cocaine					1.578660935	1.536599888	1.341513585	1.4855914693333332
crossfade							1.401136411	1.401136411
funker vogt								0.0
ftm						1.173791581		1.173791581
dope					1.107832235		1.1626451070000001	1.1352386710000002
pansexuality				1.3533936340000001				1.3533936340000001
criminology								0.0
robert smith								0.0
black roses				1.127828028	2.21566447	1.237816576	1.9675532580000001	1.6372155830000001
postsecret						1.024399925	1.1030222809999999	1.063711103
but i'm a cheerleader				1.015045225		1.00305826		1.0090517425
white oleander			1.052938006		1.329398682	1.600624883	1.8781190190000001	1.4652701475
destruction				1.3533936340000001	1.717139964		1.430947824	1.5004938073333332
shirley manson				1.127828028	1.370942391	1.067083255		1.1886178913333334
mosh pits					1.5648130319999998		1.639627715	1.6022203734999998
sid vicious							1.341513585	1.341513585
roman dirge								0.0
wishes				1.015045225	1.03859272			1.0268189725
webcams								0.0
anger			1.548438245	3.9473981	4.223610397	4.012233042	5.157374449	3.7778108466
dying			1.548438245	2.255656057	3.448127832	3.5640580739999996	3.7860494510000002	2.9204659318
distillers								0.0
discipline						1.04574159		1.04574159
intimacy								0.0
blades			1.424563185	3.834615297	5.276051021000001	4.012233042	5.187185862	3.9469296814000003
loneliness				2.36843886	2.312599791	2.582341479	2.861895648	2.5313189444999997
dieting			1.300688125	2.255656057	2.2433602759999998	3.6707663999999998	2.9811412999999995	2.4903224315999997
anxiety			3.406564139	6.766968172	4.819070224	7.811049432999999	4.4419005369999995	5.449110500999999
my ruin			1.114875536		2.658797365	1.515258223	1.7588733669999999	1.7619511227499998
virgin suicides								0.0
the wizard of oz				1.127828028				1.127828028
peta								0.0
bif naked								0.0
ed			1.362625655	1.9173076480000002	1.5648130319999998	2.368924828	2.2060445619999998	1.883943145
deadsy								0.0
danzig					1.204767556			1.204767556
pleasure					1.232463361			1.232463361
cloves								0.0
nihilism					1.107832235	1.00305826		1.0554452475
shadows fall					1.03859272			1.03859272
cutting		1.55043485	11.706193133	27.519003901999998	30.188428415	30.155772813000002	34.879353211	22.666531054
arch enemy								0.0
veruca salt								0.0
perfection			2.291688602	4.172963706	3.863564921	4.695166326	4.47171195	3.8990191009999995
ill nino			1.052938006		1.024744817			1.0388414115
strength					1.27400707	1.557941553	1.818496193	1.5501482720000002
brian molko				1.3533936340000001	1.218615458	1.152449916	1.013588042	1.1845117625000001
punks				1.3533936340000001	1.5648130319999998		1.5203820630000002	1.4795295763333334
satan					1.190919653			1.190919653
a fire inside				1.240610831	1.107832235		1.043399455	1.1306141736666666
boys in eyeliner			1.114875536	1.127828028	1.8002273819999999		1.78868478	1.4579039315000002
hell					1.301702876		1.222267933	1.2619854044999999
glow sticks				1.015045225			1.043399455	1.02922234
